,day,cash,portfolio,equity,positions,current,date
0,70,286837.0,713163.0,1000000.0,5,"['ACE.NS-1228-1136', 'VMARCIND.NS-249-231', 'GENUSPOWER.NS-275-255', 'APCOTEXIND.NS-322-298', 'GRSE.NS-1603-1483']",2025-04-11
1,71,121.25432872772217,1018585.5773515701,1018706.8316802979,7,"['ACE.NS-1245-1153', 'VMARCIND.NS-254-236', 'GENUSPOWER.NS-289-268', 'APCOTEXIND.NS-318-298', 'GRSE.NS-1686-1561', 'IOC.NS-124-116', 'IBULLSLTD.NS-15-15']",2025-04-15
2,72,121.25432872772217,1021244.6030893326,1021365.8574180603,7,"['ACE.NS-1243-1153', 'VMARCIND.NS-259-241', 'GENUSPOWER.NS-285-268', 'APCOTEXIND.NS-319-298', 'GRSE.NS-1709-1582', 'IOC.NS-125-117', 'IBULLSLTD.NS-15-15']",2025-04-16
3,73,121.25432872772217,1028344.5574378967,1028465.8117666245,7,"['ACE.NS-1228-1153', 'VMARCIND.NS-264-245', 'GENUSPOWER.NS-290-269', 'APCOTEXIND.NS-321-298', 'GRSE.NS-1702-1582', 'IOC.NS-125-117', 'IBULLSLTD.NS-15-15']",2025-04-17
4,74,121.25432872772217,1051581.652712822,1051702.9070415497,7,"['ACE.NS-1262-1169', 'VMARCIND.NS-269-250', 'GENUSPOWER.NS-302-280', 'APCOTEXIND.NS-320-298', 'GRSE.NS-1728-1599', 'IOC.NS-130-121', 'IBULLSLTD.NS-15-15']",2025-04-21
5,75,121.25432872772217,1055933.424501419,1056054.6788301468,7,"['ACE.NS-1253-1169', 'VMARCIND.NS-275-255', 'GENUSPOWER.NS-313-290', 'APCOTEXIND.NS-321-298', 'GRSE.NS-1722-1599', 'IOC.NS-129-121', 'IBULLSLTD.NS-15-15']",2025-04-22
6,76,121.25432872772217,1054565.4884548187,1054686.7427835464,7,"['ACE.NS-1243-1169', 'VMARCIND.NS-280-260', 'GENUSPOWER.NS-319-296', 'APCOTEXIND.NS-320-298', 'GRSE.NS-1722-1599', 'IOC.NS-129-121', 'IBULLSLTD.NS-14-15']",2025-04-23
7,77,121.25432872772217,1055259.0582342148,1055380.3125629425,7,"['ACE.NS-1241-1169', 'VMARCIND.NS-286-265', 'GENUSPOWER.NS-312-296', 'APCOTEXIND.NS-315-298', 'GRSE.NS-1717-1599', 'IOC.NS-129-121', 'IBULLSLTD.NS-15-15']",2025-04-24
8,78,29.511646270751953,1021982.170501709,1022011.6821479797,7,"['ACE.NS-1200-1169', 'VMARCIND.NS-292-271', 'GENUSPOWER.NS-296-296', 'APCOTEXIND.NS-305-298', 'GRSE.NS-1605-1599', 'IOC.NS-126-121', 'CHENNPETRO.NS-621-575']",2025-04-25
9,79,29.511646270751953,1036382.2546691895,1036411.7663154602,7,"['ACE.NS-1203-1169', 'VMARCIND.NS-297-276', 'GENUSPOWER.NS-296-296', 'APCOTEXIND.NS-303-298', 'GRSE.NS-1737-1608', 'IOC.NS-128-121', 'CHENNPETRO.NS-611-575']",2025-04-28
